epoch	train_loss	train_ppl	valid_loss	valid_ppl
1	6.879965009360478	972.5923275689473	6.129348376701618	459.1368788935982
2	6.236435923083075	511.03389722559626	5.746194055710716	312.99714081144526
3	5.865452634877172	352.6417379385705	5.602794723949213	271.18323164827876
4	5.6065925894112425	272.2151072997909	5.304530998756146	201.24659537336552
5	5.366360631482355	214.0823237530681	5.0625366835758605	157.990781055688
6	5.1371853269379715	170.23593485092243	4.76666756333976	117.52693758360655
7	4.905223468254352	134.99307330285612	4.513613372013487	91.25094713893378
8	4.71481206499297	111.5878379418595	4.329961261530032	75.94134466070572
9	4.489213121348414	89.05134569928263	4.163662466509589	64.30661264760562
10	4.298319273981555	73.57602857553766	3.970455353287445	53.00866301389319
11	4.0911159679807465	59.8065967238706	3.72803703669844	41.59737385123485
12	3.8621159257559943	47.56589085786856	3.5299635399347062	34.12272347534789
13	3.6334335228492476	37.84252698907871	3.3692348551476137	29.056286282296334
14	3.3952157990685823	29.821088143660855	3.1255479735889655	22.77237033266422
15	3.151951970725224	23.381660382203894	2.8832542731844146	17.87234012272289
16	2.9036554385875832	18.240701413377067	2.7092064468339943	15.017353716623797
17	2.660995207983872	14.310523961878205	2.512666335051087	12.337782905714766
18	2.4020759401650262	11.046083604022279	2.2921364882896684	9.89605792343159
19	2.1641830863623785	8.707485746742874	2.1022597510239174	8.184644289273319
20	1.9036477763077309	6.710327625923139	1.8548165313128768	6.3905256817025
21	1.6937548641500801	5.439868371447821	1.7021310521268296	5.485625097438879
22	1.4743501667318673	4.368196251176084	1.6622375660929187	5.271092075791021
23	1.2846302945038368	3.613331841606721	1.4427353404034142	4.232256661008898
24	1.0992379342687542	3.001877524073028	1.3137770493825276	3.720198582982839
25	0.9602962907018333	2.6124704094535667	1.2675789896099048	3.5522421284850805
26	0.8153961650256453	2.2600708560464033	1.1211119876510796	3.0682641788934277
27	0.6970786318696779	2.0078783792040324	1.0634470054473	2.896337493219228
28	0.5954738747456978	1.8138902981349443	1.0095445643896344	2.7443508552480695
29	0.5185178027584635	1.679536399674359	0.8022065402447492	2.2304570959835712
30	0.444677052826717	1.5599863213017937	0.8718828113599756	2.39140918982501
31	0.3688381180681031	1.4460534947928887	0.4924678901831309	1.6363495720182648
32	0.22550291413890905	1.2529526853892448	0.3740505987200244	1.4536106994369
33	0.1643695018157877	1.1786497478631814	0.32394504221691484	1.3825713219766982
34	0.13278052384226485	1.1419993291990427	0.2915479864539771	1.3384978617154417
35	0.1130863216801964	1.1197285856297905	0.2679140463300135	1.307234773559529
36	0.09696954045573185	1.101826811967322	0.2504190766605838	1.2845636345408649
37	0.08617711157120507	1.0899993627100528	0.2249473348773759	1.2522567641991513
38	0.07711372498808236	1.0801649111494247	0.19599900899947376	1.2165256997561102
39	0.06876985343365834	1.0711896501571976	0.17486087404105854	1.191080494868502
40	0.06215845119079639	1.064130944185558	0.1576951273727691	1.170809192615813
